rank,name,school,division,flight,wins,losses,TGRS,TGRS_scaled,ts_rating,ts_mu,local_ts_mu,ts_sigma,reachability,local_reachability,sos,local_sos,quality_wins,won_after_set1_loss,vs_weaker_opp,vs_mid_opp,vs_top_opp,last_match_date,reason_below
1,Ricky Jeong,Detroit Country Day,overall,1,10,0,646.44,97.4,31.94,50.88,50.88,6.31,231,231,31.24,31.24,6,1/1 (100%),2-0 (100%),3-0 (100%),4-0 (100%),2026-09-18,
2,Aarav Shah,Salem,overall,1,11,0,623.12,94.2,27.03,47.58,47.58,6.85,230,230,31.74,31.74,8,1/1 (100%),3-0 (100%),2-0 (100%),6-0 (100%),2026-09-17,Lower TrueSkill rating
3,Grant Miller,Ann Arbor Pioneer,overall,1,11,1,605.27,91.8,25.07,46.97,46.97,7.3,225,225,32.7,32.7,9,,2-0 (100%),2-0 (100%),7-1 (88%),2026-09-18,Lost head-to-head vs player above
4,chengzhi ma,Ann Arbor Huron,overall,1,7,2,568.92,86.9,20.45,38.71,38.71,6.08,222,222,33.16,33.16,4,0/2 (0%),2-0 (100%),2-0 (100%),3-2 (60%),2026-09-22,Lost head-to-head vs player above
5,Jacob Yang,Bloomfield Hills Cranbrook Kingswood,overall,1,14,2,608.17,92.2,23.13,42.14,42.14,6.34,230,230,34.87,34.87,10,1/2 (50%),3-0 (100%),3-0 (100%),8-2 (80%),2026-09-22,Worse score margin vs common opponents
6,Carter Griffith,Birmingham Seaholm,overall,1,17,0,666.07,100.0,34.58,54.86,54.86,6.76,228,228,35.11,35.11,13,1/1 (100%),1-0 (100%),3-0 (100%),11-0 (100%),2026-09-22,Worse score margin vs common opponents
7,Mason Crosby,South Lyon East,overall,1,18,0,561.78,86.0,22.54,47.81,47.81,8.43,209,209,25.99,25.99,12,,7-0 (100%),8-0 (100%),3-0 (100%),2026-09-21,Worse score margin vs common opponents
8,Anish Komirisetty,Haslett,overall,1,17,0,637.66,96.2,33.18,54.56,54.56,7.13,220,220,30.35,30.35,11,1/1 (100%),6-0 (100%),3-0 (100%),8-0 (100%),2026-09-18,Worse score margin vs common opponents
9,Kris Thomas,Novi,overall,1,9,5,581.21,88.6,21.33,40.07,40.07,6.24,225,225,33.97,33.97,5,1/4 (25%),3-0 (100%),2-0 (100%),4-5 (44%),2026-09-21,Lower TrueSkill rating
10,Dheeraj Yelleti,Troy,overall,1,10,5,591.34,90.0,24.15,39.52,39.52,5.13,221,221,36.08,36.08,7,0/5 (0%),1-0 (100%),2-0 (100%),6-5 (55%),2026-09-15,Lost head-to-head vs player above
11,Edmundo Berain Saucedo,Hudsonville Unity Christian,overall,1,13,3,604.83,91.8,28.35,47.67,47.67,6.44,219,219,29.0,29.0,7,1/4 (25%),5-0 (100%),3-0 (100%),4-2 (67%),2026-09-21,Fewer wins vs common opponents
12,Ryan Brockhaus,Bloomfield Hills Brother Rice,overall,1,10,4,547.86,84.1,17.23,34.45,34.45,5.74,218,218,33.32,33.32,6,0/4 (0%),2-0 (100%),2-0 (100%),5-4 (56%),2026-09-22,Lower TrueSkill rating
13,Matthew Bartoszewicz,Grosse Pointe South,overall,1,20,4,597.52,90.8,24.6,45.82,45.82,7.07,220,220,32.91,32.91,12,1/4 (25%),6-0 (100%),4-0 (100%),9-4 (69%),2026-09-21,Worse score margin vs common opponents
14,Eli Howes,St. Johns,overall,1,16,1,556.26,85.2,22.08,44.47,44.47,7.46,215,215,22.55,22.55,3,0/1 (0%),12-0 (100%),2-0 (100%),2-1 (67%),2026-09-21,Worse score margin vs common opponents
15,Dylan Hodgman,Mattawan,overall,1,13,0,573.76,87.6,23.96,47.74,47.74,7.93,215,215,26.73,26.73,7,1/1 (100%),6-0 (100%),1-0 (100%),5-0 (100%),2026-09-22,Worse score margin vs common opponents
16,Reid Hackney,Muskegon Mona Shores,overall,1,13,1,568.68,86.9,24.57,46.03,46.03,7.15,213,213,24.45,24.45,5,0/1 (0%),6-0 (100%),2-0 (100%),3-1 (75%),2026-09-21,Lower TrueSkill rating
17,Brady Winston,Bloomfield Hills,overall,1,6,4,548.95,84.3,18.5,35.84,35.84,5.78,215,215,37.81,37.81,5,0/4 (0%),,4-0 (100%),2-4 (33%),2026-09-15,Worse score margin vs common opponents
18,Vikram Krishnan,Grand Rapids Forest Hills Northern,overall,1,8,5,570.68,87.2,24.63,40.64,40.64,5.34,211,211,32.91,32.91,6,0/4 (0%),2-0 (100%),2-0 (100%),4-5 (44%),2026-09-22,Lost head-to-head vs player above
19,Eeshaan Ale,St. Joseph,overall,1,15,7,548.62,84.2,19.61,36.21,36.21,5.53,214,214,29.99,29.99,5,1/8 (12%),9-1 (90%),2-0 (100%),3-5 (38%),2026-09-18,Lower TrueSkill rating
20,Nico Grosso,Holland Christian,overall,1,12,4,576.44,87.9,24.69,41.22,41.22,5.51,214,214,31.8,31.8,6,2/5 (40%),5-0 (100%),2-0 (100%),4-4 (50%),2026-09-21,Worse score margin vs common opponents
21,Thomas McCormick,Clarkston,overall,1,10,2,548.23,84.2,19.57,36.02,36.02,5.48,213,213,30.56,30.56,6,1/3 (33%),3-0 (100%),2-0 (100%),5-2 (71%),2026-09-22,Lower TrueSkill rating
22,Evan Weber,Berkley,overall,1,15,2,543.92,83.6,22.18,42.47,42.47,6.76,207,207,25.86,25.86,4,1/3 (33%),8-0 (100%),4-0 (100%),3-2 (60%),2026-09-22,Worse score margin vs common opponents
23,Mateus Pimentel,Goodrich,overall,1,11,0,501.98,77.9,20.51,44.17,44.17,7.89,191,191,22.7,22.7,4,1/1 (100%),7-0 (100%),2-0 (100%),2-0 (100%),2026-09-22,Worse score margin vs common opponents
24,Floyd Webb,Holland,overall,1,11,4,535.11,82.4,17.71,33.86,33.86,5.39,213,213,29.03,29.03,4,0/3 (0%),5-0 (100%),2-0 (100%),2-4 (33%),2026-09-21,Lower TrueSkill rating
25,Sahaj Pakala,Okemos,overall,1,11,6,531.35,81.9,16.78,35.43,35.43,6.21,212,212,31.73,31.73,5,1/6 (17%),4-0 (100%),3-0 (100%),3-6 (33%),2026-09-22,Lost head-to-head vs player above
26,Aditya Deo,Rochester Adams,overall,1,4,6,521.2,80.5,15.21,33.19,33.19,5.99,211,211,37.18,37.18,3,0/5 (0%),1-0 (100%),1-0 (100%),2-6 (25%),2026-09-22,Lost head-to-head vs player above
27,Dominic Kwong,Portage Central,overall,1,14,6,549.74,84.4,21.17,41.17,41.17,6.67,208,208,31.68,31.68,8,2/8 (25%),6-0 (100%),1-0 (100%),6-6 (50%),2026-09-16,Lost head-to-head vs player above
28,Gavin Luchies,Hudsonville,overall,1,14,5,533.42,82.2,20.35,37.17,37.17,5.61,204,204,29.21,29.21,6,1/5 (20%),6-1 (86%),3-0 (100%),4-3 (57%),2026-09-21,Lost head-to-head vs player above
29,Manuel Meca,Grand Rapids Christian,overall,1,13,4,519.19,80.3,17.33,34.11,34.11,5.6,203,203,31.98,31.98,7,2/5 (40%),4-0 (100%),1-0 (100%),6-4 (60%),2026-09-21,Lost head-to-head vs player above
30,Euji Son,Berrien Springs,overall,1,18,2,535.1,82.4,20.93,42.92,42.92,7.33,203,203,24.75,24.75,8,1/3 (33%),9-0 (100%),3-0 (100%),6-2 (75%),2026-09-22,Fewer wins vs common opponents
31,Liam Nantais,Detroit U-D Jesuit,overall,1,4,8,465.77,73.1,7.36,27.71,27.71,6.78,202,202,40.91,40.91,3,0/6 (0%),,,3-8 (27%),2026-09-22,Worse score margin vs common opponents
32,Justin Karem,Byron Center,overall,1,12,5,514.04,79.6,18.28,34.71,34.71,5.48,200,200,30.12,30.12,5,0/5 (0%),5-0 (100%),1-1 (50%),5-4 (56%),2026-09-22,Lost head-to-head vs player above
33,Hawthorn Sutherland,Maple City Glen Lake,overall,1,15,8,560.48,85.8,26.48,44.22,44.22,5.91,201,201,31.01,31.01,7,0/8 (0%),4-0 (100%),3-2 (60%),6-6 (50%),2026-09-18,Lost head-to-head vs player above
34,Lucas Parrott,Parma Western,overall,1,11,0,466.07,73.1,15.63,40.5,40.5,8.29,184,184,24.64,24.64,5,1/1 (100%),5-0 (100%),2-0 (100%),3-0 (100%),2026-09-21,Worse score margin vs common opponents
35,Rohan Nagaram,Troy Athens,overall,1,6,7,481.33,75.2,14.31,29.53,29.53,5.08,196,196,29.51,29.51,2,0/6 (0%),4-0 (100%),2-0 (100%),0-6 (0%),2026-09-16,Lower TrueSkill rating
36,Kyle Friggens,Grand Haven,overall,1,11,6,490.51,76.4,14.73,30.42,30.42,5.23,199,199,28.56,28.56,3,1/7 (14%),8-0 (100%),2-0 (100%),1-6 (14%),2026-09-21,Worse score margin vs common opponents
37,Elliott Buck,Ada Forest Hills Eastern,overall,1,14,8,529.37,81.6,22.73,39.43,39.43,5.57,196,196,29.37,29.37,6,0/8 (0%),8-1 (89%),3-0 (100%),3-7 (30%),2026-09-21,Lost head-to-head vs player above
38,Rocco Wisniewski,Pontiac Notre Dame Prep,overall,1,10,1,472.28,73.9,14.36,34.33,34.33,6.66,192,192,23.77,23.77,3,1/2 (50%),7-0 (100%),,3-1 (75%),2026-09-22,Worse score margin vs common opponents
39,Justin Woo,Ann Arbor Skyline,overall,1,5,4,490.02,76.3,16.13,33.47,33.47,5.78,196,196,31.63,31.63,1,1/5 (20%),3-0 (100%),2-0 (100%),0-4 (0%),2026-09-16,Lower TrueSkill rating
40,Noah West,Lansing Catholic,overall,1,17,2,492.24,76.6,18.86,39.02,39.02,6.72,190,190,23.7,23.7,4,0/1 (0%),9-0 (100%),2-0 (100%),3-2 (60%),2026-09-18,Worse score margin vs common opponents
41,Yassin Elsaadany,Midland Dow,overall,1,15,5,485.3,75.7,17.73,36.29,36.29,6.18,184,184,30.1,30.1,9,0/5 (0%),6-0 (100%),5-0 (100%),4-5 (44%),2026-09-22,Lower TrueSkill rating
42,Graham Long,Detroit Catholic Central,overall,1,6,8,426.31,67.8,3.29,21.55,21.55,6.09,195,195,30.61,30.61,3,1/7 (14%),2-0 (100%),3-1 (75%),1-6 (14%),2026-09-22,Lower TrueSkill rating
43,Kirtan Palapattu,Ann Arbor Greenhills,overall,1,5,8,465.15,73.0,16.88,31.12,31.12,4.74,182,182,30.38,30.38,1,1/7 (14%),2-1 (67%),2-2 (50%),0-5 (0%),2026-09-15,Lost head-to-head vs player above
44,Zack Tropea,Jackson Lumen Christi,overall,1,18,10,493.84,76.8,18.14,35.57,35.57,5.81,189,189,29.14,29.14,7,2/11 (18%),8-0 (100%),7-3 (70%),2-7 (22%),2026-09-22,Worse score margin vs common opponents
45,Tise Courtright,Grosse Pointe Woods University Liggett,overall,1,10,10,415.66,66.3,8.66,24.71,24.71,5.35,174,174,33.57,33.57,5,1/8 (12%),4-0 (100%),1-0 (100%),4-10 (29%),2026-09-21,Lost head-to-head vs player above
46,Jack Johnson,Grosse Ile,overall,1,11,3,475.55,74.4,21.58,36.45,36.45,4.96,173,173,28.12,28.12,5,0/2 (0%),4-0 (100%),2-1 (67%),5-2 (71%),2026-09-12,Lost head-to-head vs player above
47,Sam Michalowicz,New Baltimore Anchor Bay,overall,1,9,0,460.16,72.3,25.44,42.98,42.98,5.85,157,157,25.76,25.76,4,,4-0 (100%),2-0 (100%),2-0 (100%),2026-09-22,Worse score margin vs common opponents
48,Keegan Parrish,Brighton,overall,1,7,8,389.98,62.9,7.76,25.54,25.54,5.93,166,166,32.25,32.25,2,0/7 (0%),2-1 (67%),4-0 (100%),0-7 (0%),2026-09-22,Lower TrueSkill rating
49,Logan Fansler,Chelsea,overall,1,10,10,398.9,64.1,12.54,30.45,30.45,5.97,157,157,32.29,32.29,4,2/11 (18%),5-0 (100%),3-2 (60%),2-7 (22%),2026-09-16,Lost head-to-head vs player above
50,Sam Lauth,Allen Park,overall,1,11,0,403.1,64.6,17.79,40.44,40.44,7.55,149,149,20.1,20.1,4,,6-0 (100%),3-0 (100%),1-0 (100%),2026-09-21,Worse score margin vs common opponents
51,Jakob Rietema,Grand Rapids Forest Hills Central,overall,1,4,10,330.72,54.9,-0.05,20.88,20.88,6.98,156,156,34.92,34.92,1,1/11 (9%),2-0 (100%),1-0 (100%),0-10 (0%),2026-09-21,Lower TrueSkill rating
52,Ajay Sarnaik,Grosse Pointe North,overall,1,12,6,407.35,65.2,15.45,32.97,32.97,5.84,156,156,27.02,27.02,3,1/7 (14%),7-0 (100%),2-2 (50%),2-4 (33%),2026-09-18,Worse score margin vs common opponents
53,Jagger Meller,Southgate Anderson,overall,1,11,6,411.34,65.7,18.76,36.59,36.59,5.95,148,148,30.97,30.97,4,0/6 (0%),4-0 (100%),6-0 (100%),1-6 (14%),2026-09-18,Worse score margin vs common opponents
54,Truong Huynh,Jackson,overall,1,6,1,371.87,60.4,17.3,35.55,35.55,6.08,136,136,20.58,20.58,2,1/2 (50%),4-0 (100%),1-1 (50%),1-0 (100%),2026-09-15,Lower TrueSkill rating
55,Eric J Mitchell,Birmingham Groves,overall,1,2,3,387.36,62.5,11.92,27.9,27.9,5.33,155,155,32.45,32.45,1,1/3 (33%),1-1 (50%),1-0 (100%),0-2 (0%),2026-09-14,Lower TrueSkill rating
56,Lucas Chang,Rochester,overall,1,6,7,366.4,59.7,8.39,26.84,26.84,6.15,154,154,29.83,29.83,1,1/8 (12%),5-1 (83%),1-1 (50%),0-5 (0%),2026-09-18,Lost head-to-head vs player above
57,Christian Lambert,Rochester Hills Stoney Creek,overall,1,6,8,364.12,59.4,10.08,27.44,27.44,5.79,150,150,27.39,27.39,0,2/10 (20%),6-0 (100%),0-4 (0%),0-4 (0%),2026-09-18,Lost head-to-head vs player above
58,Nestor Cardinaux,Battle Creek Lakeview,overall,1,15,7,365.43,59.6,16.5,34.1,34.1,5.87,131,131,26.69,26.69,5,0/7 (0%),8-1 (89%),2-0 (100%),2-6 (25%),2026-09-16,Worse score margin vs common opponents
59,Gavin Habicht,Romeo,overall,1,7,9,384.54,62.1,16.91,33.51,33.51,5.53,142,142,28.86,28.86,1,0/9 (0%),6-0 (100%),1-1 (50%),0-7 (0%),2026-09-18,Lower TrueSkill rating
60,Grant Martin,East Grand Rapids,overall,1,6,9,291.4,49.6,4.25,21.83,21.83,5.86,124,124,35.28,35.28,3,1/9 (11%),3-0 (100%),1-0 (100%),2-8 (20%),2026-09-16,Lower TrueSkill rating
61,Simon Wolters,East Kentwood,overall,1,10,2,341.73,56.4,12.85,30.59,30.59,5.92,131,131,21.8,21.8,3,0/1 (0%),7-0 (100%),2-0 (100%),1-2 (33%),2026-09-21,Fewer wins vs common opponents
62,Noah Dapprich,Grand Rapids NorthPointe Christian,overall,1,9,11,288.98,49.3,2.82,21.36,21.36,6.18,129,129,27.69,27.69,2,0/10 (0%),5-3 (62%),1-2 (33%),1-6 (14%),2026-09-21,Fewer wins vs common opponents
63,Wesley Goodspeed,Allegan,overall,1,18,15,370.1,60.2,18.09,37.49,37.49,6.47,128,128,26.15,26.15,7,3/17 (18%),10-1 (91%),5-5 (50%),2-8 (20%),2026-09-21,Lost head-to-head vs player above
64,Ryan Higley,Ludington,overall,1,18,5,309.59,52.1,9.73,26.4,26.4,5.56,119,119,27.77,27.77,6,0/3 (0%),7-0 (100%),5-1 (83%),3-4 (43%),2026-09-21,Lost head-to-head vs player above
65,Liam Washington,Petoskey,overall,1,12,5,318.41,53.3,15.29,33.57,33.57,6.1,110,110,28.82,28.82,5,0/5 (0%),4-0 (100%),3-1 (75%),3-4 (43%),2026-09-16,Lost head-to-head vs player above
66,Alex Moore,Rockford,overall,1,7,11,279.25,48.0,3.58,20.96,20.96,5.79,123,123,27.67,27.67,1,0/10 (0%),4-2 (67%),2-3 (40%),1-5 (17%),2026-09-21,Worse score margin vs common opponents
67,Andrew Artuso,Dewitt,overall,1,9,6,309.32,52.0,14.18,29.7,29.7,5.17,109,109,28.67,28.67,4,2/8 (25%),4-1 (80%),2-0 (100%),2-4 (33%),2026-09-18,Lost head-to-head vs player above
